"index","time","minutes","dateTime","HP34401A.VoltageDC"
495,145.528,2.4254703125,20231127 22:00:31,9.9806287958
1487,442.909,7.3818183485,20231127 22:05:28,9.9806314405
2478,740.209,12.3368185839,20231127 22:10:26,9.9806264744
3469,1037.659,17.294318162,20231127 22:15:23,9.9806207406
4461,1335.109,22.251818668,20231127 22:20:21,9.9806241712
5452,1632.409,27.2068183653,20231127 22:25:18,9.9806258258
6443,1929.709,32.1618185166,20231127 22:30:15,9.9806264652
7434,2227.159,37.1193183972,20231127 22:35:13,9.9806240211
8426,2524.609,42.0768183653,20231127 22:40:10,9.9806232695
9417,2821.909,47.0318182307,20231127 22:45:07,9.9806232534
10408,3119.209,51.986818298,20231127 22:50:05,9.9806218555
11399,3416.659,56.9443185988,20231127 22:55:02,9.9806205139
12391,3714.109,61.9018183485,20231127 23:00:00,9.9806150671
13382,4011.409,66.8568184326,20231127 23:04:57,9.9806157786
14373,4308.709,71.8118184662,20231127 23:09:54,9.9806208548
15364,4606.159,76.7693183468,20231127 23:14:52,9.9806165653
16356,4903.609,81.7268185503,20231127 23:19:49,9.9806179532
17347,5200.909,86.6818185671,20231127 23:24:46,9.9806171554
18338,5498.209,91.6368184662,20231127 23:29:44,9.9806140788
19329,5795.659,96.5943184308,20231127 23:34:41,9.9806134776
20321,6093.109,101.5518183485,20231127 23:39:39,9.9806140873
21312,6390.409,106.5068182644,20231127 23:44:36,9.9806112268
22303,6687.709,111.4618182307,20231127 23:49:33,9.9806098469
23294,6985.159,116.4193184812,20231127 23:54:31,9.98060831
24286,7282.609,121.3768182644,20231127 23:59:28,9.9806062364
25277,7579.909,126.3318182644,20231128 00:04:25,9.9806041896
26268,7877.209,131.2868185166,20231128 00:09:23,9.9806049727
27259,8174.659,136.2443184644,20231128 00:14:20,9.9806071369
28251,8472.109,141.2018186176,20231128 00:19:18,9.9806085812
29242,8769.409,146.1568183148,20231128 00:24:15,9.9806050978
30233,9066.709,151.1118184326,20231128 00:29:12,9.9806082682
31224,9364.159,156.0693184476,20231128 00:34:10,9.9806054459
32216,9661.609,161.0268183317,20231128 00:39:07,9.9806002175
33207,9958.909,165.9818183317,20231128 00:44:04,9.9806013233
34198,10256.209,170.9368183485,20231128 00:49:02,9.9805972992
35189,10553.659,175.8943186996,20231128 00:53:59,9.9805935004
36181,10851.109,180.8518182476,20231128 00:58:57,9.9805926062
37172,11148.409,185.8068183485,20231128 01:03:54,9.9805947841
38163,11445.709,190.7618184157,20231128 01:08:51,9.9806000224
39154,11743.159,195.7193182964,20231128 01:13:49,9.9805940822
40146,12040.609,200.6768215271,20231128 01:18:46,9.9805941648
41137,12337.909,205.6318185335,20231128 01:23:43,9.9805982291
42128,12635.209,210.5868183989,20231128 01:28:41,9.9805974291
43119,12932.659,215.5443183972,20231128 01:33:38,9.9806009178
44111,13230.109,220.5018182476,20231128 01:38:36,9.9806011967
45102,13527.409,225.4568185671,20231128 01:43:33,9.9806035315
46093,13824.709,230.4118182476,20231128 01:48:30,9.9805988225
47084,14122.159,235.3693182628,20231128 01:53:28,9.9805944179
48076,14419.609,240.3268183653,20231128 01:58:25,9.9805945647
49067,14716.909,245.2818184326,20231128 02:03:22,9.9805932386
50058,15014.209,250.2368185335,20231128 02:08:20,9.9805924361
51049,15311.659,255.1943183804,20231128 02:13:17,9.9805959987
52041,15609.109,260.1518182307,20231128 02:18:15,9.9805951024
53032,15906.409,265.1068184157,20231128 02:23:12,9.9805917066
54023,16203.709,270.0618185166,20231128 02:28:09,9.9805932724
55014,16501.159,275.0193183132,20231128 02:33:07,9.9805910852
56006,16798.609,279.9768184662,20231128 02:38:04,9.9805901975
56997,17095.909,284.9318186344,20231128 02:43:01,9.9805962229
57988,17393.209,289.8868182139,20231128 02:47:59,9.9805979927
58979,17690.659,294.844318414,20231128 02:52:56,9.9805940796
59971,17988.109,299.8018182812,20231128 02:57:54,9.9805969494
60962,18285.409,304.7568184662,20231128 03:02:51,9.9805945153
61953,18582.709,309.7118184157,20231128 03:07:48,9.9805947387
62944,18880.159,314.6693181284,20231128 03:12:46,9.9805942816
63936,19177.609,319.6268181971,20231128 03:17:43,9.9805979139
64927,19474.909,324.581818483,20231128 03:22:40,9.9805998786
65918,19772.209,329.5368183821,20231128 03:27:38,9.9805989262
66909,20069.659,334.4943183468,20231128 03:32:35,9.9806047821
67901,20367.109,339.4518182139,20231128 03:37:33,9.9806015144
68892,20664.409,344.4068184662,20231128 03:42:30,9.9806010104
69883,20961.709,349.361818113,20231128 03:47:27,9.9806047001
70874,21259.159,354.3193184308,20231128 03:52:25,9.9806017924
71866,21556.609,359.2768181298,20231128 03:57:22,9.9806036848
72857,21853.909,364.2318183989,20231128 04:02:19,9.9806015991
73848,22151.209,369.1868183653,20231128 04:07:17,9.9806009064
74839,22448.659,374.1443183132,20231128 04:12:14,9.9805999237
75831,22746.109,379.1018184157,20231128 04:17:12,9.9806011176
76822,23043.409,384.0568183148,20231128 04:22:09,9.9806055577
77813,23340.709,389.0118184157,20231128 04:27:06,9.9806073491
78804,23638.159,393.969318246,20231128 04:32:04,9.9806073308
79796,23935.609,398.9268184157,20231128 04:37:01,9.9806075189
80787,24232.909,403.8818181635,20231128 04:41:58,9.9806044789
81778,24530.209,408.8368181971,20231128 04:46:56,9.9806059655
82769,24827.659,413.7943183132,20231128 04:51:53,9.9806077736
83761,25125.109,418.7518186007,20231128 04:56:51,9.9806076295
84752,25422.409,423.7068183653,20231128 05:01:48,9.9806085876
85743,25719.709,428.6618182307,20231128 05:06:45,9.9806017513
86734,26017.159,433.619318162,20231128 05:11:43,9.9806030561
87726,26314.609,438.5768185335,20231128 05:16:40,9.9806062193
88717,26611.909,443.5318183989,20231128 05:21:37,9.9806016573
89708,26909.209,448.4868182139,20231128 05:26:35,9.9806011382
90699,27206.659,453.4443182796,20231128 05:31:32,9.9806050672
91691,27504.109,458.4018183148,20231128 05:36:30,9.9806041842
92682,27801.409,463.3568183148,20231128 05:41:27,9.980603462
93673,28098.709,468.3118182307,20231128 05:46:24,9.9806051823
94664,28396.159,473.2693183804,20231128 05:51:22,9.9806077804
95656,28693.609,478.2268186344,20231128 05:56:19,9.9806039117
96647,28990.909,483.1818181635,20231128 06:01:16,9.9806026643
97638,29288.209,488.1368184326,20231128 06:06:14,9.9806062614
98629,29585.509,493.0918181803,20231128 06:11:11,9.9806048189
