"index";"time";"minutes";"dateTime";"HP34401A.VoltageDC";"Math.RMS";"Math.AVG1000";"Math.StdDev";"Math.StdDev100"
0;0,056;0,0009333333;1752603201,565;9,9804321;9,9804321;9,9804321;0;0
1;0,465;0,00775;1752603201,978;9,9804288;9,98043045;9,98043045;0,0000023335;0,0000023335
2;0,879;0,01465;1752603202,395;9,9804365;9,9804324667;9,9804324667;0,0000038631;0,0000038631
3;1,296;0,0216;1752603202,816;9,9804321;9,980432375;9,980432375;0,0000031595;0,0000031595
4;1,717;0,0286166667;1752603203,23;9,9804288;9,98043166;9,98043166;0,0000031691;0,0000031691
5;2,131;0,0355166667;1752603203,646;9,9804321;9,9804317333;9,9804317333;0,0000028402;0,0000028402
6;2,546;0,0424333333;1752603204,067;9,9804299;9,9804314714;9,9804314714;0,0000026837;0,0000026837
7;2,968;0,0494666667;1752603204,476;9,9804321;9,98043155;9,98043155;0,0000024946;0,0000024946
8;3,377;0,0562833333;1752603204,885;9,9804321;9,9804316111;9,9804316111;0,0000023406;0,0000023406
9;3,786;0,0631;1752603205,295;9,980431;9,98043155;9,98043155;0,0000022152;0,0000022152
10;4,195;0,0699166667;1752603205,704;9,9804288;9,9804313;9,9804313;0,0000022592;0,0000022592
11;4,604;0,0767333333;1752603206,113;9,9804277;9,980431;9,980431;0,0000023917;0,0000023917
12;5,014;0,0835666667;1752603206,522;9,9804299;9,9804309154;9,9804309154;0,0000023101;0,0000023101
13;5,423;0,0903833333;1752603206,931;9,9804299;9,9804308429;9,9804308429;0,000002236;0,000002236
14;5,832;0,0972;1752603207,341;9,9804321;9,9804309267;9,9804309267;0,0000021789;0,0000021789
15;6,241;0,1040166667;1752603207,75;9,9804288;9,9804307938;9,9804307937;0,0000021712;0,0000021712
16;6,65;0,1108333333;1752603208,159;9,9804321;9,9804308706;9,9804308706;0,000002126;0,000002126
17;7,059;0,11765;1752603208,567;9,9804299;9,9804308167;9,9804308167;0,0000020751;0,0000020751
18;7,468;0,1244666667;1752603208,976;9,9804299;9,9804307684;9,9804307684;0,0000020276;0,0000020276
19;7,877;0,1312833333;1752603209,385;9,9804299;9,980430725;9,980430725;0,0000019831;0,0000019831
20;8,285;0,1380833333;1752603209,794;9,9804277;9,980430581;9,980430581;0,0000020425;0,0000020425
21;8,694;0,1449;1752603210,202;9,9804321;9,98043065;9,98043065;0,0000020194;0,0000020194
22;9,103;0,1517166667;1752603210,611;9,9804255;9,9804304261;9,9804304261;0,0000022463;0,0000022463
23;9,511;0,1585166667;1752603211,019;9,9804321;9,9804304958;9,9804304958;0,0000022233;0,0000022233
24;9,919;0,1653166667;1752603211,427;9,9804299;9,980430472;9,980430472;0,0000021797;0,0000021797
25;10,328;0,1721333333;1752603211,836;9,980431;9,9804304923;9,9804304923;0,0000021382;0,0000021382
26;10,736;0,1789333333;1752603212,244;9,9804288;9,9804304296;9,9804304296;0,0000021218;0,0000021218
27;11,144;0,1857333333;1752603212,652;9,9804288;9,9804303714;9,9804303714;0,0000021048;0,0000021048
28;11,552;0,1925333333;1752603213,061;9,9804288;9,9804303172;9,9804303172;0,0000020874;0,0000020874
29;11,961;0,19935;1752603213,469;9,980431;9,98043034;9,98043034;0,0000020549;0,0000020549
30;12,369;0,20615;1752603213,878;9,9804288;9,9804302903;9,9804302903;0,0000020392;0,0000020392
31;12,778;0,2129666667;1752603214,286;9,980431;9,9804303125;9,9804303125;0,0000020099;0,0000020099
32;13,187;0,2197833333;1752603214,695;9,9804288;9,9804302667;9,9804302667;0,0000019957;0,0000019957
33;13,595;0,2265833333;1752603215,104;9,9804343;9,9804303853;9,9804303853;0,0000020834;0,0000020834
