"index";"time";"minutes";"dateTime";"HP34401A.VoltageDC"
0;0,051;0,00085;1752136180,759;9,9802261
1;0,46;0,0076666667;1752136181,172;9,9802294
2;0,872;0,0145333333;1752136181,588;9,9802272
3;1,289;0,0214833333;1752136182,01;9,9802283
4;1,71;0,0285;1752136182,423;9,9802239
5;2,123;0,0353833333;1752136182,838;9,9802272
6;2,538;0,0423;1752136183,259;9,9802228
7;2,959;0,0493166667;1752136183,667;9,9802305
8;3,367;0,0561166667;1752136184,076;9,9802294
9;3,776;0,0629333333;1752136184,484;9,9802327
10;4,184;0,0697333333;1752136184,892;9,9802261
11;4,592;0,0765333333;1752136185,3;9,9802305
12;5;0,0833333333;1752136185,708;9,9802239
13;5,409;0,09015;1752136186,117;9,9802261
14;5,817;0,09695;1752136186,525;9,9802239
15;6,225;0,10375;1752136186,933;9,9802217
16;6,634;0,1105666667;1752136187,342;9,9802261
17;7,042;0,1173666667;1752136187,75;9,9802261
18;7,45;0,1241666667;1752136188,159;9,9802239
19;7,859;0,1309833333;1752136188,568;9,9802239
20;8,268;0,1378;1752136188,976;9,9802283
21;8,676;0,1446;1752136189,384;9,980225
22;9,084;0,1514;1752136189,792;9,9802217
23;9,493;0,1582166667;1752136190,201;9,9802272
24;9,901;0,1650166667;1752136190,609;9,9802272
25;10,309;0,1718166667;1752136191,017;9,9802239
26;10,717;0,1786166667;1752136191,425;9,9802305
27;11,125;0,1854166667;1752136191,833;9,9802316
28;11,533;0,1922166667;1752136192,241;9,9802305
29;11,941;0,1990166667;1752136192,649;9,9802261
30;12,349;0,2058166667;1752136193,058;9,9802283
31;12,758;0,2126333333;1752136193,466;9,9802316
32;13,166;0,2194333333;1752136193,874;9,9802261
33;13,575;0,22625;1752136194,283;9,9802305
34;13,983;0,23305;1752136194,691;9,9802305
35;14,391;0,23985;1752136195,099;9,9802349
36;14,799;0,24665;1752136195,507;9,9802305
37;15,208;0,2534666667;1752136195,916;9,9802283
38;15,616;0,2602666667;1752136196,324;9,9802272
39;16,024;0,2670666667;1752136196,732;9,9802327
40;16,432;0,2738666667;1752136197,14;9,9802283
41;16,84;0,2806666667;1752136197,548;9,9802294
42;17,248;0,2874666667;1752136197,957;9,9802283
43;17,657;0,2942833333;1752136198,365;9,9802294
44;18,065;0,3010833333;1752136198,773;9,9802272
45;18,473;0,3078833333;1752136199,182;9,9802239
46;18,882;0,3147;1752136199,59;9,9802228
47;19,29;0,3215;1752136199,998;9,9802228
48;19,699;0,3283166667;1752136200,407;9,9802207
49;20,107;0,3351166667;1752136200,815;9,9802228
50;20,515;0,3419166667;1752136201,224;9,9802239
51;20,924;0,3487333333;1752136201,632;9,9802272
52;21,332;0,3555333333;1752136202,04;9,980225
53;21,74;0,3623333333;1752136202,448;9,9802272
54;22,148;0,3691333333;1752136202,856;9,980225
55;22,556;0,3759333333;1752136203,264;9,9802283
56;22,965;0,38275;1752136203,673;9,9802294
57;23,373;0,38955;1752136204,081;9,9802294
58;23,782;0,3963666667;1752136204,489;9,9802272
59;24,19;0,4031666667;1752136204,897;9,980225
60;24,598;0,4099666667;1752136205,306;9,9802272
61;25,006;0,4167666667;1752136205,714;9,9802349
62;25,415;0,4235833333;1752136206,123;9,9802305
63;25,916;0,4319333333;1752136206,624;9,9802239
64;26,416;0,4402666667;1752136207,124;9,9802283
65;26,915;0,4485833333;1752136207,624;9,9802294
66;27,415;0,4569166667;1752136208,123;9,9802272
67;27,915;0,46525;1752136208,623;9,9802272
68;28,415;0,4735833333;1752136209,123;9,9802305
69;28,915;0,4819166667;1752136209,624;9,9802371
70;29,415;0,49025;1752136210,123;9,9802316
71;29,915;0,4985833333;1752136210,623;9,9802294
72;30,416;0,5069333333;1752136211,124;9,980236
73;30,915;0,51525;1752136211,623;9,9802283
74;31,415;0,5235833333;1752136212,124;9,9802338
75;31,915;0,5319166667;1752136212,623;9,9802349
76;32,415;0,54025;1752136213,123;9,9802316
77;32,915;0,5485833333;1752136213,624;9,9802305
78;33,415;0,5569166667;1752136214,123;9,9802305
79;33,916;0,5652666667;1752136214,624;9,9802239
80;34,415;0,5735833333;1752136215,124;9,9802261
81;34,915;0,5819166667;1752136215,623;9,9802272
82;35,416;0,5902666667;1752136216,124;9,9802272
83;35,916;0,5986;1752136216,624;9,9802305
84;36,415;0,6069166667;1752136217,123;9,9802294
85;36,915;0,61525;1752136217,624;9,9802305
86;37,416;0,6236;1752136218,124;9,9802327
87;37,915;0,6319166667;1752136218,624;9,9802316
88;38,416;0,6402666667;1752136219,124;9,9802327
89;38,916;0,6486;1752136219,625;9,9802239
90;39,415;0,6569166667;1752136220,124;9,9802283
91;39,915;0,66525;1752136220,624;9,9802305
92;40,415;0,6735833333;1752136221,123;9,9802305
93;40,915;0,6819166667;1752136221,624;9,9802261
94;41,415;0,69025;1752136222,123;9,9802272
95;41,915;0,6985833333;1752136222,623;9,9802305
96;42,415;0,7069166667;1752136223,123;9,980225
97;42,915;0,71525;1752136223,624;9,9802272
98;43,415;0,7235833333;1752136224,123;9,9802327
99;43,915;0,7319166667;1752136224,624;9,9802316
100;44,415;0,74025;1752136225,124;9,9802261
101;44,916;0,7486;1752136225,625;9,9802272
102;45,415;0,7569166667;1752136226,124;9,9802272
103;45,916;0,7652666667;1752136226,624;9,9802305
104;46,415;0,7735833333;1752136227,124;9,9802305
105;46,916;0,7819333333;1752136227,625;9,9802261
106;47,416;0,7902666667;1752136228,124;9,9802283
107;47,916;0,7986;1752136228,624;9,9802261
108;48,415;0,8069166667;1752136229,124;9,9802294
109;48,915;0,81525;1752136229,624;9,9802327
110;49,416;0,8236;1752136230,124;9,9802283
111;49,916;0,8319333333;1752136230,624;9,9802294
112;50,415;0,84025;1752136231,123;9,9802261
113;50,915;0,8485833333;1752136231,623;9,9802228
114;51,415;0,8569166667;1752136232,123;9,9802294
